"","Area","ISO.3.code","Year","Continent","Biomass","Coal","Gas","Hydro","Nuclear","Other Fossil","Other Renewables","Solar","Wind"
"124","Myanmar","MMR",2024,"Asia",0.000124,0.0553,0.4606,0.4606,0,0.0055,0,0.0055,0
"125","Namibia","NAM",2024,"Africa",0,0.0244,0,0.6098,0,0,0,0.3537,0.0122
"126","Nauru","NRU",2024,"Oceania",0,0,0,0,0,0.8,0,0.2,0
"127","Nepal","NPL",2024,"Asia",0,0,0,0.9883,0,0,0,0.0108,9e-04
"128","Netherlands","NLD",2024,"Europe",0.000546,0.0611,0.3621,7e-04,0.0292,0.0403,0,0.1784,0.2737
"129","New Caledonia","NCL",2024,"Oceania",0,0.3654,0,0.1731,0,0.3654,0,0.0833,0.0128
"130","New Zealand","NZL",2024,"Oceania",0.000177,0.0273,0.0979,0.5328,0,0.015,0.2029,0.0084,0.0979
"131","Nicaragua","NIC",2024,"North America",0.001969,0,0,0.1438,0,0.3761,0.1527,0.0066,0.1239
"132","Niger (the)","NER",2024,"Africa",0,0.1789,0.0526,0,0,0.7368,0,0.0316,0
"133","Nigeria","NGA",2024,"Africa",1.6e-05,0,0.75,0.2449,0,0,0,0.0035,0
"134","North Macedonia","MKD",2024,"Europe",9.5e-05,0.374,0.2044,0.2171,0,0.0269,0,0.141,0.0269
"135","Norway","NOR",2024,"Europe",1.5e-05,0,0.0094,0.8882,0,0.0046,0,0.0034,0.0929
"136","Oman","OMN",2024,"Asia",0,0,0.9124,0,0,0.0387,0,0.0468,0.002
"137","Pakistan","PAK",2024,"Asia",0.000104,0.1392,0.2514,0.2187,0.1308,0.1067,0,0.1133,0.0295
"138","Palestine, State of","PSE",2024,"Asia",0,0,0,0,0,0.6061,0,0.3939,0
"139","Panama","PAN",2024,"North America",3.7e-05,0.0372,0.2085,0.5309,0,0.0745,0,0.0737,0.0715
"140","Papua New Guinea","PNG",2024,"Oceania",2.1e-05,0,0.1924,0.2114,0,0.5708,0.0211,0.0021,0
"141","Paraguay","PRY",2024,"South America",5.7e-05,0,0,0.9943,0,0,0,0,0
"142","Peru","PER",2024,"South America",0.000101,0,0.3918,0.5397,0,0.0071,0,0.016,0.0353
"143","Philippines (the)","PHL",2024,"Asia",0.000106,0.6391,0.1454,0.0813,0,0.0108,0.084,0.0168,0.0121
"144","Poland","POL",2024,"Europe",0.000462,0.5432,0.1189,0.0123,0,0.0264,0,0.1026,0.1504
"145","Portugal","PRT",2024,"Europe",0.000793,0,0.1191,0.315,0,0.029,0.0042,0.15,0.3034
"146","Puerto Rico","PRI",2024,"North America",5e-06,0.16,0.27,0.0025,0,0.51,0,0.048,0.009
"147","Qatar","QAT",2024,"Asia",2.3e-05,0,0.9598,0,0,0,0,0.0379,0
"148","Romania","ROU",2024,"Europe",9.1e-05,0.1343,0.1903,0.2692,0.2069,0.0034,0,0.0649,0.122
"149","Russian Federation (the)","RUS",2024,"Europe",7e-06,0.1779,0.4513,0.1741,0.1784,0.0114,NA,0.0024,0.0038
"150","Rwanda","RWA",2024,"Africa",0,0.1504,0.2655,0.4602,0,0.0885,0,0.0354,0
"151","Saint Kitts and Nevis","KNA",2024,"North America",0,0,0,0,0,0.913,0,0.0435,0.0435
"152","Saint Lucia","LCA",2024,"North America",0,0,0,0,0,0.975,0,0.025,0
"153","Saint Vincent and the Grenadines","VCT",2024,"North America",0,0,0,0.1333,0,0.8667,0,0,0
"154","Samoa","WSM",2024,"Oceania",0.000625,0,0,0.1875,0,0.5625,0,0.1875,0
"155","Saudi Arabia","SAU",2024,"Asia",0,0,0.6334,NA,NA,0.345,NA,0.0181,0.0035
"156","Senegal","SEN",2024,"Africa",0.000144,0.0131,0.0026,0.0406,0,0.7864,0,0.0891,0.0537
"157","Serbia","SRB",2024,"Europe",9.2e-05,0.6293,0.0465,0.2733,0,0.0035,0,0.0043,0.0338
"158","Seychelles","SYC",2024,"Africa",0,0,0,0,0,0.8413,0,0.1429,0.0159
"159","Sierra Leone","SLE",2024,"Africa",0,0,0,0.8571,0,0.0476,0,0.0952,0
"160","Singapore","SGP",2024,"Asia",0.000278,0.0096,0.9215,NA,NA,0.0196,NA,0.0215,NA
"161","Slovakia","SVK",2024,"Europe",0.000535,0.0176,0.0976,0.1636,0.6175,0.0268,0,0.0234,0
"162","Slovenia","SVN",2024,"Europe",0.00015,0.2095,0.0287,0.3196,0.3495,0.0012,0,0.076,6e-04
"163","Solomon Islands","SLB",2024,"Oceania",0,0,0,0,0,0.9091,0,0.0909,0
"164","Somalia","SOM",2024,"Africa",0,0,0,0,0,0.7907,0,0.186,0.0233
"165","South Africa","ZAF",2024,"Africa",1.9e-05,0.8355,0,0.0044,0.0315,0.0078,NA,0.0739,0.0448
"166","South Korea","KOR",2024,"Asia",0.000325,0.3051,0.2852,0.0069,0.3018,0.0108,NA,0.0523,0.0054
"167","South Sudan","SSD",2024,"Africa",0,0,0,0,0,0.9821,0,0.0179,0
"168","Spain","ESP",2024,"Europe",0.00022,0.0092,0.1863,0.1225,0.1941,0.0371,0,0.2075,0.2214
"169","Sri Lanka","LKA",2024,"Asia",0.000117,0.3286,NA,0.4107,NA,0.1189,0.0023,0.0767,0.051
"170","Sudan (the)","SDN",2024,"Africa",7.4e-05,0,0,0.7786,0,0.2031,0,0.0108,0
"171","Suriname","SUR",2024,"South America",5.7e-05,0,0.0115,0.5172,0,0.4598,0,0.0057,0
"172","Sweden","SWE",2024,"Europe",0.000591,0,6e-04,0.3753,0.2943,0.0114,0,0.0242,0.235
"173","Switzerland","CHE",2024,"Europe",0.000133,NA,0.0034,0.5734,0.3065,0.0156,0.0133,0.0722,0.0023
"174","Syrian Arab Republic (the)","SYR",2024,"Asia",1.2e-05,0,0.5225,0.0301,0,0.4421,0,0.004,0
"175","Taiwan","TWN",2024,"Asia",7.2e-05,0.4007,0.4332,0.0146,0.0422,0.0148,NA,0.0516,0.0358
